kind,section,rva,va,size,base,name
PUB,.text,0x00001000,0x00401000,112,U_Assert_MemFailure,?U_Assert_MemFailure@@YAXPAD0I@Z
PUB,.text,0x00001070,0x00401070,112,U_Assert_ToolFailure,?U_Assert_ToolFailure@@YAXPAD0I@Z
PUB,.text,0x000010e0,0x004010e0,112,U_Assert_FileFailure,?U_Assert_FileFailure@@YAXPAD0I@Z
PUB,.text,0x00001150,0x00401150,112,U_Assert_DataFailure,?U_Assert_DataFailure@@YAXPAD0I@Z
PUB,.text,0x000011c0,0x004011c0,48,U_Error_Mem,?U_Error_Mem@@YAXXZ
PUB,.text,0x000011f0,0x004011f0,48,U_Error,?U_Error@@YAXPBD_N@Z
PUB,.text,0x00001220,0x00401220,32,U_File::U_File,??0U_File@@QAE@XZ
PUB,.text,0x00001240,0x00401240,80,U_File::U_File,??0U_File@@QAE@PBDH@Z
PUB,.text,0x00001290,0x00401290,32,U_File::~U_File,??1U_File@@QAE@XZ
PUB,.text,0x000012b0,0x004012b0,480,U_File::Open,?Open@U_File@@QAEHPBDHJJ@Z
PUB,.text,0x00001490,0x00401490,48,U_File::Close,?Close@U_File@@QAEXXZ
PUB,.text,0x000014c0,0x004014c0,64,U_File::Read,?Read@U_File@@QAEHPAXI@Z
PUB,.text,0x00001500,0x00401500,64,U_File::Write,?Write@U_File@@QAEHPBXI@Z
PUB,.text,0x00001540,0x00401540,64,U_File::Seek,?Seek@U_File@@QAEHHH@Z
PUB,.text,0x00001580,0x00401580,160,U_File::GetSize,?GetSize@U_File@@QAEHXZ
PUB,.text,0x00001620,0x00401620,16,U_File::IsOK,?IsOK@U_File@@QBE_NXZ
PUB,.text,0x00001630,0x00401630,480,U_File::Defaults,?Defaults@U_File@@IAEXXZ
PUB,.text,0x00001810,0x00401810,32,U_Image::U_Image,??0U_Image@@QAE@XZ
PUB,.text,0x00001830,0x00401830,64,U_Image::U_Image,??0U_Image@@QAE@JW4U_Image_Type@@@Z
PUB,.text,0x00001870,0x00401870,32,U_Image::~U_Image,??1U_Image@@QAE@XZ
PUB,.text,0x00001890,0x00401890,80,U_Image::Load,?Load@U_Image@@QAEXJW4U_Image_Type@@@Z
PUB,.text,0x000018e0,0x004018e0,32,U_LinkedList::U_LinkedList,??0U_LinkedList@@QAE@XZ
PUB,.text,0x00001900,0x00401900,32,U_LinkedList::~U_LinkedList,??1U_LinkedList@@QAE@XZ
PUB,.text,0x00001920,0x00401920,160,U_LinkedList::CreateAndAddLinkAtStart,?CreateAndAddLinkAtStart@U_LinkedList@@QAEXPAX@Z
PUB,.text,0x000019c0,0x004019c0,144,U_LinkedList::CreateAndAddLink,?CreateAndAddLink@U_LinkedList@@QAEXPAX@Z
PUB,.text,0x00001a50,0x00401a50,80,U_LinkedList::FindAndDeleteLink,?FindAndDeleteLink@U_LinkedList@@QAE?AW4U_LinkedList_Err@@PAX@Z
PUB,.text,0x00001aa0,0x00401aa0,80,U_LinkedList::DeleteAllLinks,?DeleteAllLinks@U_LinkedList@@QAEXXZ
PUB,.text,0x00001af0,0x00401af0,112,U_LinkedList::DeleteLink,?DeleteLink@U_LinkedList@@QAE?AW4U_LinkedList_Err@@PAUU_LinkedList_Link@@@Z
PUB,.text,0x00001b60,0x00401b60,144,U_LinkedList::DeleteLink,?DeleteLink@U_LinkedList@@QAE?AW4U_LinkedList_Err@@PAUU_LinkedList_Link@@PAUU_LinkRef@@@Z
PUB,.text,0x00001bf0,0x00401bf0,16,U_LinkedList::GetNumLinks,?GetNumLinks@U_LinkedList@@QBEHXZ
PUB,.text,0x00001c00,0x00401c00,48,U_LinkedList::GetNthLinkObject,?GetNthLinkObject@U_LinkedList@@QAEPAXH@Z
PUB,.text,0x00001c30,0x00401c30,128,U_LinkedList::DeleteFirstLink,?DeleteFirstLink@U_LinkedList@@QAEPAXXZ
PUB,.text,0x00001cb0,0x00401cb0,32,U_LinkedList::GetNextLinkObject,?GetNextLinkObject@U_LinkedList@@QAEXPAUU_LinkRef@@@Z
PUB,.text,0x00001cd0,0x00401cd0,48,U_LinkedList::FindLink,?FindLink@U_LinkedList@@IAEPAUU_LinkedList_Link@@PBX@Z
PUB,.text,0x00001d00,0x00401d00,144,U_Manager_Init,?U_Manager_Init@@YAXXZ
PUB,.text,0x00001d90,0x00401d90,80,U_Manager_ShutDown,?U_Manager_ShutDown@@YAXXZ
PUB,.text,0x00001de0,0x00401de0,112,U_Manager_Register,?U_Manager_Register@@YAXPBD_N@Z
PUB,.text,0x00001e50,0x00401e50,800,U_Manager_Deregister,?U_Manager_Deregister@@YAXPBD_N@Z
PUB,.text,0x00002170,0x00402170,304,U_Math_Init,?U_Math_Init@@YAXXZ
PUB,.text,0x000022a0,0x004022a0,64,U_Math_ShutDown,?U_Math_ShutDown@@YAXXZ
PUB,.text,0x000022e0,0x004022e0,64,U_Math_GetInterceptAngle,?U_Math_GetInterceptAngle@@YAHHHHH@Z
PUB,.text,0x00002320,0x00402320,64,U_Math_GetVectorFromAngle,?U_Math_GetVectorFromAngle@@YAXHPAUU_Utils_Vector@@@Z
PUB,.text,0x00002360,0x00402360,64,U_Math_GetVectorFromAngleAndSpeed,?U_Math_GetVectorFromAngleAndSpeed@@YAXHMPAUU_Utils_Vector@@@Z
PUB,.text,0x000023a0,0x004023a0,128,U_Math_GetUnitVector,?U_Math_GetUnitVector@@YAXMMPAUU_Utils_Vector@@@Z
PUB,.text,0x00002420,0x00402420,48,U_Math_GetSpeedFromVector,?U_Math_GetSpeedFromVector@@YAMPAUU_Utils_Vector@@@Z
PUB,.text,0x00002450,0x00402450,656,U_Math_GetAngleFromVector,?U_Math_GetAngleFromVector@@YAHPAUU_Utils_Vector@@@Z
PUB,.text,0x000026e0,0x004026e0,112,U_Math_GetDistanceToTarget,?U_Math_GetDistanceToTarget@@YAMPAUU_Utils_Vector@@0@Z
PUB,.text,0x00002750,0x00402750,32,U_Math_Cos,?U_Math_Cos@@YAMH@Z
PUB,.text,0x00002770,0x00402770,32,U_Math_Sin,?U_Math_Sin@@YAMH@Z
PUB,.text,0x00002790,0x00402790,64,U_Math_Sqrt,?U_Math_Sqrt@@YAMH@Z
