offset	type	key	base
0x0008	String	#name_STR	param_3
0x0028	ID	#spriteHighScore_ID	param_3
0x002c	Int	#spriteHighScoreFrame_INT	param_3
0x0030	ID	#spriteScoreBar_ID	param_3
0x0034	Int	#spriteScoreBarFrame_INT	param_3
0x0038	ID	#spriteScoreBarShield_ID	param_3
0x003c	Int	#spriteScoreBarShieldFrame_INT	param_3
0x0040	ID	#spriteScoreBarPower_ID	param_3
0x0044	Int	#spriteScoreBarPowerFrame_INT	param_3
0x0048	Int	#defaultShieldPercentage_INT	param_3
0x004c	Int	#shieldWarningPercentage_INT	param_3
0x0050	Int	#shieldBaseHitPercentage_INT	param_3
0x0054	Int	#shieldHitDelay_INT	param_3
0x0058	Color	#hitGlowColor_COLOR	param_3
0x005a	Int	#hitGlowSpeed_INT	param_3
0x005e	Int	#life_MaxNum_INT	param_3
0x0062	Int	#life_NumInitial_INT	param_3
0x0066	Int	#life_InitialRequiredScore_INT	param_3
0x006a	Int	#life_AdditionalRequiredScore_INT	param_3
0x006e	ID	#life_Spawn_ID	param_3
0x0072	Int	#waitingTime_INT	param_3
0x0076	Int	#filmIntroTime_INT	param_3
0x007a	Int	#introTime_INT	param_3
0x007e	Int	#gameOverTime_INT	param_3
0x0082	Int	#dyingTime_INT	param_3
0x0086	Int	#finalDyingTime_INT	param_3
0x008a	Int	#entry_InvulnerabilityTime_INT	param_3
0x008e	Int	#entry_soloStartX_INT	param_3
0x0092	Int	#entry_soloStartY_INT	param_3
0x0096	Int	#entry_multiStartX_INT	param_3
0x009a	Int	#entry_multiStartY_INT	param_3
0x009e	ID	#entry_Spawn_ID	param_3
0x00a2	Float	#entry_StartVelocityX_FLOAT	param_3
0x00a6	Float	#entry_StartVelocityY_FLOAT	param_3
0x00aa	Float	#entry_TargetVelocityX_FLOAT	param_3
0x00ae	Float	#entry_TargetVelocityY_FLOAT	param_3
0x00b2	Float	#entry_VelocityDelta_FLOAT	param_3
0x00b6	Int	#entry_InitialDelay_INT	param_3
0x00ba	ID	#death_Spawn_ID	param_3
0x00be	Int	#death_Duration_INT	param_3
0x00c2	ID	#active_MoneyCounterSpawn_ID	param_3
0x00c6	ID	#active_SpawnOnHit_ID	param_3
0x00ca	ID	#active_ShieldWarningObject_ID	param_3
0x00ce	ID	#active_DefenceBonusObject_ID	param_3
0x00d2	Float	#active_DefaultMaxSpeed_FLOAT	param_3
0x00d6	Float	#active_VelocityDelta_FLOAT	param_3
0x00da	Int	#powerupOverload_NumWarnings_INT	param_3
0x00de	Int	#powerupOverload_InitialTimeBetweenWarnings_INT	param_3
0x00e2	Int	#powerupOverload_MinimumTimeBetweenWarnings_INT	param_3
0x00e6	Float	#powerupOverload_WarningFadePercent_FLOAT	param_3
0x00ea	Color	#powerupOverload_Hilite_COLOR	param_3
0x00ec	ID	#powerupOverloadSound_ID	param_3
0x00f0	Int	#powerupOverloadSound_MinVolume_INT	param_3
0x00f4	Int	#powerupOverloadSound_MaxVolume_INT	param_3
0x00f8	Int	#powerupOverloadSound_Priority_INT	param_3
0x00fc	Float	#powerupOverloadSound_MinPitch_FLOAT	param_3
0x0100	Float	#powerupOverloadSound_MaxPitch_FLOAT	param_3
