offset	type	key
0x0016	String	#name_STR
0x0056	String	#familyName_STR
0x0096	String	#description_STR
0x0116	Boolean	#doNotSpawnIfTypeAlreadyExists_BOOL
0x0117	Boolean	#deleteExistingEntitiesOfThisTypeOwnedByPlayer_BOOL
0x0118	Boolean	#harmlessToPlayers_BOOL
0x0119	Boolean	#playerProjectile_BOOL
0x011a	Boolean	#canBeHitByPlayerProjectile_BOOL
0x011b	Boolean	#constrainInGameArea_BOOL
0x011c	Boolean	#castsShadows_BOOL
0x011d	Boolean	#initiallyHuntsClosestPlayer_BOOL
0x011e	Boolean	#displayNoticeOnceOnly_BOOL
0x011f	Boolean	#hittableWhenInvisible_BOOL
0x0120	Boolean	#doBurst_BOOL
0x0122	Boolean	#initialHeadingSetInEditor_BOOL
0x0123	Boolean	#doImplode_BOOL
0x0124	Boolean	#fleesNorthOnNoActivePlayers_BOOL
0x0125	Boolean	#fleesSouthOnNoActivePlayers_BOOL
0x0126	Boolean	#collidesWithGroundObstacles_BOOL
0x0127	Boolean	#useOwnerHeading_BOOL
0x0128	Boolean	#canBeSpawnedOnlyWhenPlayersActive_BOOL
0x0129	Boolean	#doDeathSpawnOnAnyMedia_BOOL
0x012a	Boolean	#adjustShadowLocForScaling_BOOL
0x012b	Boolean	#randomiseInitialLoc_BOOL
0x012c	Boolean	#adjustInitialLocForOwnerScale_BOOL
0x012d	Boolean	#usePreviewAppearanceInPlacementEditor_BOOL
0x012e	Boolean	#allowStationaryOptionInPlacementEditor_BOOL
0x012f	Boolean	#hitParticleDoCircularBurst_BOOL
0x0130	Boolean	#terrainEffect_BOOL
0x0131	Boolean	#includeInAirAccuracyCount_BOOL
0x0132	Boolean	#includeInGroundAccuracyCount_BOOL
0x017c	Color	#hitParticlesColor_COLOR
0x0190	Int	#numInGroupMin_INT
0x0194	Int	#numInGroupMax_INT
0x0198	Int	#groupDelayMin_INT
0x019c	Int	#groupDelayMax_INT
0x01a0	Int	#initialHeading_INT
0x01a4	Int	#initialHeadingTolerance_INT
0x01a8	Int	#initialScalePercent_INT
0x01ac	Int	#initialScalePercentTolerance_INT
0x01b0	Int	#initialVisibilityPercent_INT
0x01b4	Int	#entryNoticeDelay_INT
0x01b8	Int	#editorPreviewSpriteFrame_INT
0x01bc	Int	#appearsPercent_INT
0x0258	Float	#xOffsetMin_FLOAT
0x025c	Float	#xOffsetMax_FLOAT
0x0260	Float	#yOffsetMin_FLOAT
0x0264	Float	#yOffsetMax_FLOAT
0x0268	Float	#initialSpeedMin_FLOAT
0x026c	Float	#initialSpeedMax_FLOAT
0x0270	Float	#damage_FLOAT
0x02d0	ID	#editorPreviewSpriteFace_ID
0x02d4	ID	#hitParticles_ID
0x02d8	ID	#deletionSpawn_ID
0x02dc	ID	#drawLayer_ID
0x02e0	ID	#mediaImpactSize_ID
0x0320	String	#entryNotice_STR
0x0424	ID	#entryNoticeSound_ID
0x0428	Int	#entryNoticeSound_MaxVolume_INT
0x042c	Int	#entryNoticeSound_Priority_INT
0x0430	Float	#entryNoticeSound_MinPitch_FLOAT
0x0434	Float	#entryNoticeSound_MaxPitch_FLOAT
0x0438	Float	#shields_BaseAmount_FLOAT
0x043c	Float	#shields_LevelIncrement_FLOAT
0x0440	Float	#shields_MaxAmount_FLOAT
0x0444	ID	#shieldSound_ID
0x0448	Int	#shieldSound_MinVolume_INT
0x044c	Int	#shieldSound_MaxVolume_INT
0x0450	Int	#shieldSound_Priority_INT
0x0454	Float	#shieldSound_MinPitch_FLOAT
0x0458	Float	#shieldSound_MaxPitch_FLOAT
0x045c	ID	#unshieldedSound_ID
0x0460	Int	#unshieldedSound_MinVolume_INT
0x0464	Int	#unshieldedSound_MaxVolume_INT
0x0468	Int	#unshieldedSound_Priority_INT
0x046c	Float	#unshieldedSound_MinPitch_FLOAT
0x0470	Float	#unshieldedSound_MaxPitch_FLOAT
0x0474	ID	#destructSpawn_ID
0x047c	ID	#destructParticle_ID
0x047e	String	#destructNotice_STR
0x049e	Int	#destructNumCoinsToRelease_INT
0x04a2	ID	#destructCoin_ID
0x04a6	ID	#destructCoinOnGroupKill_ID
0x04aa	Boolean	#destructDestroyChildren_BOOL
0x04ab	Boolean	#destructDeleteChildren_BOOL
0x04ac	Boolean	#destructDrawToTerrain_BOOL
0x04ad	Boolean	#destructCreateObstacle_BOOL
0x04ae	Boolean	#destructReleaseRandomBonus_BOOL
0x04b0	Int	#score_INT
0x04b4	ID	#destructSound_ID
0x04b8	Int	#destructSound_MinVolume_INT
0x04bc	Int	#destructSound_MaxVolume_INT
0x04c0	Int	#destructSound_Priority_INT
0x04c4	Float	#destructSound_MinPitch_FLOAT
0x04c8	Float	#destructSound_MaxPitch_FLOAT
0x04cc	ID	#pickup_Type_ID
0x04d0	ID	#pickup_MultiplierSpawn_ID
0x04d4	Int	#pickup_Value_INT
